correlation_measure,rho_xy,rho_uv,eta_x,eta_y,winning_weight,n_wins,total_wins,prop_wins
Phi,0.5,0.5,0,0,OPW,3,30,0.1
Phi,0.5,0.5,0,0,PPW,1,30,0.03333333333333333
Phi,0.5,0.5,0,4,CW,19,31,0.6129032258064516
Phi,0.5,0.5,0,4,OPW,6,31,0.1935483870967742
Phi,0.5,0.5,0,4,MOPW,5,31,0.16129032258064516
Phi,0.5,0.5,0,4,PPW,1,31,0.03225806451612903
Phi,0.5,0.5,4,0,CW,19,31,0.6129032258064516
Phi,0.5,0.5,4,0,OPW,6,31,0.1935483870967742
Phi,0.5,0.5,4,0,MOPW,5,31,0.16129032258064516
Phi,0.5,0.5,4,0,PPW,1,31,0.03225806451612903
Phi,0.5,0.5,4,4,CW,16,32,0.5
Phi,0.5,0.5,4,4,OPW,10,32,0.3125
Phi,0.5,0.5,4,4,MOPW,5,32,0.15625
Phi,0.5,0.5,4,4,PPW,1,32,0.03125
Spearman,0,0,0,0,PPW,13,29,0.4482758620689655
Spearman,0,0,0,0,CW,10,29,0.3448275862068966
Spearman,0,0,0,0,OPW,4,29,0.13793103448275862
Spearman,0,0,0,0,MOPW,2,29,0.06896551724137931
Spearman,0,0,0,4,CW,22,28,0.7857142857142857
Spearman,0,0,0,4,PPW,2,28,0.07142857142857142
Spearman,0,0,0,4,OPW,2,28,0.07142857142857142
Spearman,0,0,0,4,MOPW,2,28,0.07142857142857142
Spearman,0,0,4,0,no_weight,25,25,1
Spearman,0,0,4,4,OPW,11,29,0.3793103448275862
Spearman,0,0,4,4,PPW,10,29,0.3448275862068966
Spearman,0,0,4,4,MOPW,7,29,0.2413793103448276
Spearman,0,0,4,4,no_weight,1,29,0.034482758620689655
Spearman,0,0.5,0,0,no_weight,25,25,1
Spearman,0,0.5,0,4,CW,25,28,0.8928571428571429
Spearman,0,0.5,0,4,PPW,1,28,0.03571428571428571
Spearman,0,0.5,0,4,OPW,1,28,0.03571428571428571
Spearman,0,0.5,0,4,MOPW,1,28,0.03571428571428571
Spearman,0,0.5,4,0,CW,25,28,0.8928571428571429
Spearman,0,0.5,4,0,PPW,1,28,0.03571428571428571
Spearman,0,0.5,4,0,OPW,1,28,0.03571428571428571
Spearman,0,0.5,4,0,MOPW,1,28,0.03571428571428571
Spearman,0,0.5,4,4,CW,25,28,0.8928571428571429
Spearman,0,0.5,4,4,PPW,1,28,0.03571428571428571
Spearman,0,0.5,4,4,OPW,1,28,0.03571428571428571
Spearman,0,0.5,4,4,MOPW,1,28,0.03571428571428571
Spearman,0.5,0,0,0,no_weight,24,25,0.96
Spearman,0.5,0,0,0,MOPW,1,25,0.04
Spearman,0.5,0,0,4,PPW,12,30,0.4
Spearman,0.5,0,0,4,OPW,8,30,0.26666666666666666
Spearman,0.5,0,0,4,MOPW,6,30,0.2
Spearman,0.5,0,0,4,no_weight,4,30,0.13333333333333333
Spearman,0.5,0,4,0,PPW,11,30,0.36666666666666664
Spearman,0.5,0,4,0,OPW,8,30,0.26666666666666666
Spearman,0.5,0,4,0,MOPW,6,30,0.2
Spearman,0.5,0,4,0,no_weight,5,30,0.16666666666666666
Spearman,0.5,0,4,4,no_weight,22,25,0.88
Spearman,0.5,0,4,4,PPW,3,25,0.12
Spearman,0.5,0.5,0,0,CW,23,30,0.7666666666666667
Spearman,0.5,0.5,0,0,OPW,3,30,0.1
Spearman,0.5,0.5,0,0,MOPW,3,30,0.1
Spearman,0.5,0.5,0,0,PPW,1,30,0.03333333333333333
Spearman,0.5,0.5,0,4,CW,20,31,0.6451612903225806
Spearman,0.5,0.5,0,4,OPW,6,31,0.1935483870967742
Spearman,0.5,0.5,0,4,MOPW,4,31,0.12903225806451613
Spearman,0.5,0.5,0,4,PPW,1,31,0.03225806451612903
Spearman,0.5,0.5,4,0,CW,20,31,0.6451612903225806
Spearman,0.5,0.5,4,0,OPW,6,31,0.1935483870967742
Spearman,0.5,0.5,4,0,MOPW,4,31,0.12903225806451613
Spearman,0.5,0.5,4,0,PPW,1,31,0.03225806451612903
Spearman,0.5,0.5,4,4,CW,16,32,0.5
Spearman,0.5,0.5,4,4,OPW,10,32,0.3125
Spearman,0.5,0.5,4,4,MOPW,5,32,0.15625
Spearman,0.5,0.5,4,4,PPW,1,32,0.03125
